County/City,R_SHARE,Year
Henry County,0.5530447747286027,2000
Highland County,0.6555323590814196,2000
Hopewell City,0.5372599598738894,2000
Isle of Wight County,0.5858687258687258,2000
James City County,0.5972562469377756,2000
King George County,0.6134654818865345,2000
King William County,0.6148379268504074,2000
King and Queen County,0.49772647778943685,2000
Lancaster County,0.6252978918423465,2000
Lee County,0.5202331961591221,2000
Lexington City,0.44719626168224297,2000
Loudoun County,0.5611542172815355,2000
Louisa County,0.5409072900158478,2000
Lunenburg County,0.5467218470921368,2000
Lynchburg City,0.532544882157747,2000
Madison County,0.5848418539884623,2000
Manassas City,0.5440773569701853,2000
Manassas Park City,0.5658914728682171,2000
Martinsville City,0.4495960660344222,2000
Mathews County,0.6402690388370579,2000
Mecklenburg County,0.5663291573708598,2000
Middlesex County,0.6065259117082533,2000
Montgomery County,0.5151325478645066,2000
Nelson County,0.47404393816110657,2000
New Kent County,0.6434412823029113,2000
Newport News City,0.467029831387808,2000
Norfolk City,0.353856584767378,2000
Northampton County,0.4699509403107114,2000
Northumberland County,0.599821587867975,2000
Norton City,0.4176470588235294,2000
Nottoway County,0.5225782957028405,2000
Orange County,0.5714967089573595,2000
Page County,0.6364432216108054,2000
Patrick County,0.663642518618822,2000
Petersburg City,0.19065268486711265,2000
Pittsylvania County,0.6497629354772212,2000
Poquoson City,0.7287152363077973,2000
Portsmouth City,0.35616979269496546,2000
Powhatan County,0.7022963649469673,2000
Prince Edward County,0.5051076536225051,2000
Prince George County,0.6035779816513761,2000
Prince William County,0.5251962471769259,2000
Pulaski County,0.5583208631960306,2000
Radford City,0.49235611510791366,2000
Rappahannock County,0.5266154284087674,2000
Richmond City,0.3073901040560629,2000
Richmond County,0.6049508307900984,2000
Roanoke City,0.437473835296932,2000
Roanoke County,0.6011630894270967,2000
Rockbridge County,0.5777437076785487,2000
Rockingham County,0.7285988163707594,2000
Russell County,0.4693291326908821,2000
Salem City,0.5745589600742804,2000
Scott County,0.5929298339582217,2000
Shenandoah County,0.6667589261001937,2000
Smyth County,0.5604770017035775,2000
Southampton County,0.4904676794757224,2000
Spotsylvania County,0.5921875446160875,2000
Stafford County,0.6053553699702156,2000
Staunton City,0.572938689217759,2000
Suffolk City,0.47994809618425854,2000
Surry County,0.4065015479876161,2000
Sussex County,0.44674859190988225,2000
TOTALS,0.5247372918694905,2000
Tazewell County,0.5295521292217328,2000
Virginia Beach City,0.5586795841651588,2000
Warren County,0.5673473043166756,2000
Washington County,0.5965779843734547,2000
Waynesboro City,0.5750492818924247,2000
Westmoreland County,0.4865582475937604,2000
Williamsburg City,0.4770469798657718,2000
Winchester City,0.5470453969059093,2000
Wise County,0.4886551465063862,2000
Wythe County,0.6395110024449878,2000
York County,0.6228694626367816,2000
Accomack County,0.43015273725759395,1996
Albemarle County,0.48811963622390164,1996
Alexandria City,0.34260666534505163,1996
Alleghany County,0.39712258573117853,1996
Amelia County,0.5113416988416989,1996
Amherst County,0.4663127059685097,1996
Appomattox County,0.47927697644696,1996
Arlington County,0.34634366376565484,1996
Augusta County,0.6089041715681839,1996
